Week,tech recession (USA Search Results)
2021-12-12,0
2021-12-19,0
2021-12-26,20
2022-01-02,0
2022-01-09,17
2022-01-16,0
2022-01-23,0
2022-01-30,15
2022-02-06,0
2022-02-13,10
2022-02-20,0
2022-02-27,0
2022-03-06,15
2022-03-13,34
2022-03-20,22
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,15
2022-04-24,31
2022-05-01,23
2022-05-08,34
2022-05-15,45
2022-05-22,48
2022-05-29,18
2022-06-05,57
2022-06-12,61
2022-06-19,56
2022-06-26,61
2022-07-03,32
2022-07-10,0
2022-07-17,28
2022-07-24,91
2022-07-31,68
2022-08-07,22
2022-08-14,19
2022-08-21,0
2022-08-28,21
2022-09-04,38
2022-09-11,52
2022-09-18,16
2022-09-25,23
2022-10-02,11
2022-10-09,50
2022-10-16,65
2022-10-23,16
2022-10-30,100
2022-11-06,85
2022-11-13,67
2022-11-20,55
2022-11-27,47
2022-12-04,37